iShares Russell 3000 ETF,,,,,,,,,,,,,,,,,
Fund Holdings as of,27-May-21,,,,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,,,,
Shares Outstanding,"46,150,000.00",,,,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"538,594,254.72",4.66,"538,594,254.72","4,299,124.00",37833100,US0378331005,2046251,125.28,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"506,655,261.30",4.39,"506,655,261.30","2,032,230.00",594918104,US5949181045,2588173,249.31,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"371,691,987.81",3.22,"371,691,987.81","115,071.00",23135106,US0231351067,2000019,"3,230.11",United States,NASDAQ,USD,1,USD,-
FB,FACEBOOK CLASS A INC,Communication,Equity,"216,839,532.25",1.88,"216,839,532.25","651,659.00",30303M102,US30303M1027,B7TL820,332.75,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"192,478,088.88",1.67,"192,478,088.88","81,466.00",02079K305,US02079K3059,BYVY8G0,"2,362.68",United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"189,582,064.10",1.64,"189,582,064.10","78,910.00",02079K107,US02079K1079,BYY88Y7,"2,402.51",United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"147,691,700.20",1.28,"147,691,700.20","510,514.00",84670702,US0846707026,2073390,289.3,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"135,096,521.75",1.17,"135,096,521.75","822,005.00",46625H100,US46625H1005,2190385,164.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"131,088,737.45",1.13,"131,088,737.45","207,797.00",88160R101,US88160R1014,B616C79,630.85,United States,NASDAQ,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"120,802,461.72",1.05,"120,802,461.72","715,612.00",478160104,US4781601046,2475833,168.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"105,727,962.20",0.92,"105,727,962.20","256,186.00",91324P102,US91324P1021,2917766,412.7,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Information Technology,Equity,"103,948,840.02",0.9,"103,948,840.02","458,207.00",92826C839,US92826C8394,B2PZN04,226.86,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"99,248,962.56",0.86,"99,248,962.56","160,203.00",67066G104,US67066G1040,2379504,619.52,United States,NASDAQ,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"92,928,149.17",0.8,"92,928,149.17","291,521.00",437076102,US4370761029,2434209,318.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
