,Total Revenue
A,5339000000.0
AA,9286000000.0
AAIC,-55101000.0
AAL,17337000000.0
AAN,1734919000.0
AAOI,234623000.0
AAON,514551000.0
AAP,10106321000.0
AAPL,274515000000.0
AAT,342094000.0
AAWW,3211116000.0
ABBV,45804000000.0
ABC,189893926000.0
ABCB,938065000.0
ABEO,10000000.0
ABG,7131800000.0
ABM,5987600000.0
ABMD,847522000.0
ABR,426577000.0
ABT,34608000000.0
ABTX,183465000.0
AC,18983000.0
ACA,1935600000.0
ACAD,441755000.0
ACBI,79812000.0
ACC,870584000.0
ACCD,132507000.0
ACCO,1655200000.0
ACEL,316352000.0
ACGL,8525275000.0
ACHC,2089929000.0
ACI,69690400000.0
ACIW,1294322000.0
ACLS,474560000.0
ACM,13239976000.0
ACN,44327039000.0
ACNB,83862000.0
ACRE,60843000.0
ACRX,5416000.0
ACTG,29782000.0
ADBE,12868000000.0
ADC,248568000.0
ADES,61577000.0
ADI,5603056000.0
ADM,64355000000.0
ADMA,42219783.0
ADNT,12670000000.0
ADP,14589800000.0
ADPT,98382000.0
ADS,4521400000.0
ADSK,3790400000.0
ADT,5314787000.0
ADTN,506510000.0
ADUS,764775000.0
ADVM,0.0
AEE,5540000000.0
AEIS,1415826000.0
AEL,2426673000.0
AEO,3759113000.0
AEP,14918500000.0
AERI,83138000.0
AES,9660000000.0
AFG,7760000000.0
AFIB,8464000.0
AFIN,305224000.0
AFL,22147000000.0
AFMD,28857000.0
AGCO,9149700000.0
AGEN,88170000.0
AGIO,203196000.0
AGLE,0.0
AGM,197081000.0
AGNC,-27000000.0
AGO,1028000000.0
AGR,6320000000.0
AGRX,749000.0
AGS,167007000.0
AGX,392206000.0
AGYS,160757000.0
AHCO,1056389000.0
AHH,383634000.0
AI,156666000.0
AIG,43337000000.0
AIMC,1726000000.0
AIN,900610000.0
AIR,2072000000.0
AIRC,719556000.0
AIT,3245652000.0
AIV,152259000.0
AIZ,10088900000.0
AJG,6781800000.0
AJRD,2072700000.0
AJX,61900000.0
AKAM,3198149000.0
AKBA,295307000.0
AKR,256449000.0
AKRO,0.0
AKTS,1790000.0
AKUS,0.0
AL,2015439000.0
ALB,3128909000.0
ALBO,8308000.0
ALCO,92507000.0
ALE,1169100000.0
ALEC,21098000.0
ALEX,311200000.0
ALG,1163466000.0
ALGM,650089000.0
ALGN,2471941000.0
ALGS,0.0
ALGT,990073000.0
ALK,3566000000.0
ALKS,1038756000.0
ALL,44791000000.0
ALLE,2719900000.0
ALLK,0.0
ALLO,0.0
ALLY,6200000000.0
ALNY,492853000.0
ALRM,618003000.0
ALRS,222317000.0
ALSN,2081000000.0
ALTA,123395000.0
ALTG,873600000.0
ALTR,469921000.0
ALVR,0.0
ALX,199142000.0
ALXN,6069900000.0
ALXO,1182000.0
AM,971391000.0
AMAL,195829000.0
AMAT,17202000000.0
AMBC,166000000.0
AMC,1242400000.0
AMCR,12467500000.0
AMCX,2814956000.0
AMD,9763000000.0
AME,4540029000.0
AMED,2071519000.0
AMEH,687180000.0
AMG,2027500000.0
AMGN,25424000000.0
AMH,1182836000.0
AMK,432079000.0
AMKR,5050589000.0
AMN,2393714000.0
AMNB,91747000.0
AMOT,366694000.0
AMP,11958000000.0
AMPH,349846000.0
AMRC,1032275000.0
AMRS,173137000.0
AMRX,1992523000.0
AMSC,63838000.0
AMSF,339504000.0
AMSWA,115466000.0
AMT,8041500000.0
AMTB,174475000.0
AMTI,0.0
AMWD,1650333000.0
AMWL,245265000.0
AMZN,386064000000.0
AN,20390000000.0
ANAB,75000000.0
ANAT,3792399000.0
ANDE,8208436000.0
ANET,2317512000.0
ANF,3125384000.0
ANGO,264157000.0
ANIK,130457000.0
ANIP,208475000.0
ANNX,0.0
ANSS,1681297000.0
ANTM,121868000000.0
AON,11066000000.0
AOS,2895300000.0
AOSL,464909000.0
AOUT,167379000.0
APA,4393000000.0
APAM,899567000.0
APD,8856300000.0
APEI,321785000.0
APG,3587000000.0
APH,8598900000.0
APLE,601879000.0
APLS,250646000.0
APLT,0.0
APO,2220780000.0
APOG,1230774000.0
APPF,310056000.0
APPN,304573000.0
APPS,138715000.0
APR,1108717000.0
APRE,0.0
APT,102700000.0
APTS,501883000.0
APTV,13066000000.0
APYX,27711000.0
AQUA,1429456000.0
AR,3397274000.0
ARAY,382928000.0
ARCH,1436692000.0
ARCT,9539000.0
ARD,6731000000.0
ARDX,7571000.0
ARE,1901429000.0
ARES,1764046000.0
ARGO,1893900000.0
ARI,113831000.0
ARLO,357154000.0
ARMK,12829559000.0
ARNA,319000.0
ARNC,5675000000.0
AROC,874970000.0
AROW,122541000.0
ARQT,0.0
ARR,-184521000.0
ARRY,872662000.0
ARTNA,88141000.0
ARVN,21801777.0
ARW,28673363000.0
ARWR,87992066.0
ASB,1120712000.0
ASC,220057606.0
ASGN,3950600000.0
ASH,2326000000.0
ASMB,79105000.0
ASO,5689233000.0
ASPN,100273000.0
ASPS,365547000.0
ASPU,49061080.0
ASTE,1024400000.0
ASUR,65507000.0
ATEC,144861000.0
ATEN,225527000.0
ATEX,1564000.0
ATGE,1052001000.0
ATH,14764000000.0
ATHA,0.0
ATHX,1440000.0
ATI,2982100000.0
ATKR,1765421000.0
ATLO,59143467.0
ATNI,455444000.0
ATNX,144391000.0
ATO,2821137000.0
ATOM,62000.0
ATR,2929340000.0
ATRA,0.0
ATRC,206531000.0
ATRI,147591000.0
ATRO,502587000.0
ATRS,149599000.0
ATSG,1570575000.0
ATUS,9894642000.0
ATVI,8086000000.0
AUB,599643000.0
AUD,1060898000.0
AVA,1321891000.0
AVAV,367296000.0
AVB,2302526000.0
AVD,458704000.0
AVGO,23888000000.0
AVID,360466000.0
AVIR,48633000.0
AVLR,500569000.0
AVNS,714800000.0
AVNT,3242100000.0
AVRO,0.0
AVT,17634333000.0
AVTR,6393600000.0
AVXL,0.0
AVY,6971500000.0
AVYA,2873000000.0
AWH,4651000.0
AWI,936900000.0
AWK,3777000000.0
AWR,488243000.0
AX,538398000.0
AXDX,11165000.0
AXGN,112300000.0
AXL,4710800000.0
AXNX,111535000.0
AXON,681003000.0
AXP,31357000000.0
AXS,4851954000.0
AXSM,0.0
AXTA,3737600000.0
AXTI,95361000.0
AYI,3326300000.0
AYX,495308000.0
AZEK,899259000.0
AZO,12631967000.0
AZPN,598717000.0
AZZ,838917000.0
B,1124391000.0
BA,58158000000.0
BAC,74208000000.0
BAH,7463841000.0
BALY,372792000.0
BANC,213758000.0
BAND,343113000.0
BANF,381242000.0
BANR,512042000.0
BATRA,178000000.0
BATRK,178000000.0
BAX,11673000000.0
BBBY,9233028000.0
BBIO,8249000.0
BBSI,880824000.0
BBY,47262000000.0
BC,4347500000.0
BCAB,429000.0
BCBP,83459000.0
BCC,5474838000.0
BCEI,218090000.0
BCEL,0.0
BCLI,0.0
BCML,76748000.0
BCO,3690900000.0
BCOR,754952000.0
BCOV,197353000.0
BCPC,703644000.0
BCRX,17812000.0
BDC,1862716000.0
BDN,516312000.0
BDSI,156471000.0
BDTX,0.0
BDX,17117000000.0
BE,794247000.0
BEAM,24000.0
BECN,6943900000.0
BELFB,465771000.0
BEN,5566500000.0
BEPC,3186000000.0
