,isin,name,country,industry,e19,e18,is_europe,e18avg,e18std,e18zscore,is_above_e18avg,trend
0,717046106,PEYTO EXPLORATION & DEVELOPMENT CORP,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.502588815,-0.607696464,0,-0.2419927770714286,0.17786544129788168,-2.0560693761533244,-1,0.07042195537439676
1,292766102,ENERPLUS CORPORATION,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.380160054,-0.337527264,0,-0.2419927770714286,0.17786544129788168,-0.5371166328402952,0,-0.1331191912601433
2,136385101,CANADIAN NATURAL RESOURCES LTD (PRE-MERGER),Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.347269987,-0.397279519,0,-0.2419927770714286,0.17786544129788168,-0.873057412364348,-1,-0.29595799885338897
3,448055103,HUSKY ENERGY INC.,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.248895336,-0.249492022,0,-0.2419927770714286,0.17786544129788168,-0.04216246210533938,0,-0.30455347953779555
4,867224107,SUNCOR ENERGY INCORPORATED,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.211338399,-0.218549458,0,-0.2419927770714286,0.17786544129788168,0.1318036764216985,0,-0.19440121203052926
5,90697103,BIRCHCLIFF ENERGY LTD,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.197009215,-0.176835405,0,-0.2419927770714286,0.17786544129788168,0.36632957811239863,0,0.5037201458853928
6,565849106,MARATHON OIL CORPORATION,United States,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.277363817,-0.136476771,0,-0.2419927770714286,0.17786544129788168,0.5932350056395428,0,-0.42414269261433296
8,166764100,CHEVRON CORPORATION,United States,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.114292638,-0.10047731,0,-0.2419927770714286,0.17786544129788168,0.7956321702450582,0,-0.1338981994547585
9,07317Q105,BAYTEX ENERGY CORPORATION,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.5261956320000001,-0.7639616,0,-0.2419927770714286,0.17786544129788168,-2.9346275427074087,-1,0.8315260716468648
10,96467A200,WHITECAP RESOURCES INC.,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.437727183,-0.490355352,0,-0.2419927770714286,0.17786544129788168,-1.396350933133908,-1,-0.12907938466925123
11,22576C101,CRESCENT POINT ENERGY CORPORATION,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.369893505,-0.450263345,0,-0.2419927770714286,0.17786544129788168,-1.1709445432953356,-1,-0.21634710797125048
13,15135U109,CENOVUS ENERGY INC,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.17466578600000002,-0.16829497699999998,0,-0.2419927770714286,0.17786544129788168,0.4143458084586685,0,-0.3007830366879497
14,00208D408,ARC RESOURCES LIMITED,Canada,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.114892761,-0.172769457,0,-0.2419927770714286,0.17786544129788168,0.38918926333472653,0,-0.41337115408653163
15,20825C104,CONOCOPHILLIPS,United States,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.179227225,-0.156445219,0,-0.2419927770714286,0.17786544129788168,0.48096784539587484,0,-0.18917874896786874
16,42809H107,HESS CORPORATION,United States,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.169345755,-0.129236149,0,-0.2419927770714286,0.17786544129788168,0.6339434307679167,0,-0.34305160807702567
17,30231G102,EXXON MOBIL CORPORATION,United States,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.13622764,-0.127541972,0,-0.2419927770714286,0.17786544129788168,0.6434684795218377,0,-0.17879396793639876
18,RU0007661625,GAZPROM PAO,Russia,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.547021824,-0.556619446,0,-0.2419927770714286,0.17786544129788168,-1.7689027538612612,-1,-0.23549853607342094
19,AU000000WPL2,WOODSIDE PETROLEUM LIMITED,Australia,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.48249309,-0.384118537,0,-0.2419927770714286,0.17786544129788168,-0.799063375614069,0,0.13157632667673613
20,NL0000360618,SBM OFFSHORE NV,Netherlands,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.454898428,-0.726382436,1,-0.2419927770714286,0.17786544129788168,-2.7233489282346626,-1,0.12538466051812205
23,RU0009062467,GAZPROM NEFT' PAO,Russia,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.238321918,-0.166279722,0,-0.2419927770714286,0.17786544129788168,0.42567603081830563,0,0.044627454054062654
25,RU000A0DKVS5,NOVATEK PAO,Russia,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.223528909,-0.18531164,0,-0.2419927770714286,0.17786544129788168,0.31867425542492755,0,0.02249155276667149
26,ROSNPPACNOR9,OMV PETROM SA,Romania,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.21822887,-0.250739347,1,-0.2419927770714286,0.17786544129788168,-0.049175207194538724,0,-0.61613921946932
27,GB0001500809,TULLOW OIL PLC,United Kingdom,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.207121997,-0.234727135,1,-0.2419927770714286,0.17786544129788168,0.04084909366547718,0,0.11211335300995233
28,TH0355A10Z04,PTT EXPLORATION & PRODUCTION PUBLIC COMPANY LIMITED,Thailand,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.200854425,-0.249263644,0,-0.2419927770714286,0.17786544129788168,-0.04087846900171267,0,-0.015110600581524986
29,RU000A0J2Q06,NK ROSNEFT' PAO,Russia,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.193533868,-0.28228870100000003,0,-0.2419927770714286,0.17786544129788168,-0.2265528572303457,0,-0.3689692522555021
30,IT0003132476,ENI - ENTE NAZIONALE IDROCARBURI,Italy,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.187077544,-0.18900112,1,-0.2419927770714286,0.17786544129788168,0.29793115899721284,0,-0.22323914639107503
31,TH0646010Z00,PTT PUBLIC COMPANY LIMITED,Thailand,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.158531212,-0.13953760099999998,0,-0.2419927770714286,0.17786544129788168,0.5760263226167749,0,-0.30274293124505874
32,GB00B43G0577,PREMIER OIL PLC,United Kingdom,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",-0.15040299599999998,-0.312392289,1,-0.2419927770714286,0.17786544129788168,-0.3958020817021402,0,-0.10173191770111976
